productCategory,hafasOperatorCode,product,productName,shortName,iconName,wikidataQid
cd-railjet,ceske-drahy,nationalExpress,RJ,,,Q327051
db-fernverkehr,db-fernverkehr,nationalExpress,ICE,ICE,,Q129172
oebb-nightjet,osterreichische-bundesbahnen,national,NJ,NJ,oebb-nightjet,Q28127371
oebb-railjet,osterreichische-bundesbahnen,nationalExpress,RJ,,,Q327051
oebb-railjet-xpress,osterreichische-bundesbahnen,nationalExpress,RJX,RJX,,Q327051
regio-s-bahn-de-donau-iller,db-regio-ag-baden-wurttemberg,regional,N,RS,regio-s-bahn-bw,Q2204419
regio-s-bahn-de-ortenau,sweg,regional,RS,RS,regio-s-bahn-bw,Q882823
rer-ch-fribourg,transports-publics-fribourgeois,suburban,S,S,rer-ch-fribourg,Q1382393
rer-ch-vaudois,cff,suburban,R,R,rer-ch-vaud,Q1382393
rer-fr-paris,sncf,suburban,RER,,,Q216125
s-bahn-at,osterreichische-bundesbahnen,suburban,S,S,,Q2204423
s-bahn-at-kaernten-graz,graz-koflacher-bahn-und-busbetrieb-gmbh,suburban,S,S,s-bahn-at,Q2204418
s-bahn-at-oberoesterreich-lilo,stern-hafferl-verkehrs-gmbh,suburban,S,S,,Q27186048
s-bahn-at-salzburg,salzburger-lokalbahnen,suburban,S,S,,Q459508
s-bahn-at-steiermark-steiermarkbahn,steiermarkbahn-und-bus-gmbh,suburban,S,S,,Q163036
s-bahn-at-voralberg,montafonerbahn,suburban,S,S,,Q2204422
s-bahn-at-wien-stammstrecke,osterreichische-bundesbahnen,suburban,,S,,Q2329867
s-bahn-ch-bern,regionalverkehr-bern-solothurn,suburban,S,S,,Q169455
s-tog-dk,dsb-s-tog,suburban,S,S,,Q585154
sncf-ouigo,sncf,nationalExpress,OGV,OUIGO,,Q124125806
sncf-ter,sncf,regional,TER,TER,,Q205585
sncf-tgv,sncf,nationalExpress,TGV,TGV,,Q30754613
